number	bait	prey	IPTM	PTM	IPTMavg	PTMavg	RATIO	PEAK	PEAKavg	scaled_PEAK	scaled_PEAKavg	max_scaled_PEAK	mean_top3_scaled_PEAK
330	hsCDK5RAP3	Q8TDZ2	0.221:0.188:0.179:0.176:0.171	0.419:0.53:0.439:0.403:0.409	0.187	0.44	0.425	15.83:19:24.17:24.25:24.67	21.584	0.472:0.367:0.194:0.192:0.178	0.281	0.472	0.3443333333333333
621	hsCDK5RAP3	P62070	0.239:0.242:0.211:0.199:0.196	0.522:0.508:0.508:0.509:0.511	0.2174	0.5116	0.424941	12.15:14.14:14.61:15.33:16.08	14.462	0.595:0.529:0.513:0.489:0.464	0.518	0.595	0.5456666666666666
372	hsCDK5RAP3	Q008S8	0.18:0.17:0.164:0.173:0.162	0.398:0.413:0.431:0.396:0.361	0.1698	0.3998	0.424712	21.2:18.81:24.45:22.77:22.91	22.028	0.293:0.373:0.185:0.241:0.236	0.266	0.373	0.30233333333333334
95	hsCDK5RAP3	P07384	0.415:0.203:0.181:0.182:0.159	0.546:0.521:0.548:0.537:0.538	0.228	0.538	0.423792	8.71:13.58:19.31:22.66:23.38	17.528	0.71:0.547:0.356:0.245:0.221	0.416	0.71	0.5376666666666666
6	hsCDK5RAP3	Q96MN9	0.29:0.288:0.174:0.12:0.116	0.48:0.471:0.461:0.459:0.461	0.1976	0.4664	0.423671	6.76:7.08:15.2:23.5:22.66	15.04	0.775:0.764:0.493:0.217:0.245	0.499	0.775	0.6773333333333333
780	hsCDK5RAP3	Q9NSC7	0.226:0.157:0.152:0.152:0.143	0.403:0.393:0.39:0.389:0.385	0.166	0.392	0.423469	11.39:14.97:21.64:19.66:16.27	16.786	0.62:0.501:0.279:0.345:0.458	0.44	0.62	0.5263333333333333
96	hsCDK5RAP3	Q86UB2	0.203:0.174:0.159:0.154:0.152	0.4:0.404:0.401:0.393:0.391	0.1684	0.3978	0.423328	14.86:16.84:17.98:21.38:17.66	17.744	0.505:0.439:0.401:0.287:0.411	0.409	0.505	0.45166666666666666
418	hsCDK5RAP3	Q8N4T4	0.452:0.146:0.133:0.118:0.114	0.558:0.413:0.438:0.437:0.429	0.1926	0.455	0.423297	8.62:22.34:24.75:25.39:25.06	21.232	0.713:0.255:0.175:0.154:0.165	0.292	0.713	0.381
515	hsCDK5RAP3	Q7Z6J4	0.172:0.168:0.148:0.144:0.142	0.369:0.373:0.36:0.366:0.362	0.1548	0.366	0.422951	21.91:19.36:23.47:25.05:21.66	22.29	0.27:0.355:0.218:0.165:0.278	0.257	0.355	0.301
235	hsCDK5RAP3	Q9H6P5	0.262:0.19:0.184:0.175:0.174	0.496:0.458:0.461:0.463:0.453	0.197	0.4662	0.422565	14.23:17:15.7:15.44:18.97	16.268	0.526:0.433:0.477:0.485:0.368	0.458	0.526	0.496
210	hsCDK5RAP3	Q96S99	0.293:0.225:0.18:0.173:0.119	0.467:0.476:0.469:0.469:0.462	0.198	0.4686	0.422535	13.12:16.25:17.12:18.36:25.47	18.064	0.563:0.458:0.429:0.388:0.151	0.398	0.563	0.48333333333333334
569	hsCDK5RAP3	Q9ULV0	0.236:0.23:0.219:0.217:0.204	0.526:0.511:0.535:0.511:0.536	0.2212	0.5238	0.422299	23.3:24.8:23.42:24.91:23.56	23.998	0.223:0.173:0.219:0.17:0.215	0.2	0.223	0.219
738	hsCDK5RAP3	Q9Y6R4	0.222:0.21:0.205:0.193:0.191	0.472:0.494:0.46:0.503:0.489	0.2042	0.4836	0.42225	23.64:25.05:23.19:26.09:26.02	24.798	0.212:0.165:0.227:0.13:0.133	0.173	0.227	0.20133333333333334
254	hsCDK5RAP3	Q9H0J9	0.159:0.162:0.146:0.146:0.143	0.379:0.359:0.356:0.344:0.354	0.1512	0.3584	0.421875	23.92:24.45:25.52:25.84:24.78	24.902	0.203:0.185:0.149:0.139:0.174	0.17	0.203	0.18733333333333332
482	hsCDK5RAP3	Q9BYT9	0.445:0.25:0.176:0.165:0.155	0.636:0.543:0.557:0.549:0.542	0.2382	0.5654	0.421295	4.48:10.02:20.98:25.64:26.8	17.584	0.851:0.666:0.301:0.145:0.107	0.414	0.851	0.606
85	hsCDK5RAP3	Q9BPW5	0.282:0.183:0.183:0.179:0.173	0.479:0.484:0.465:0.478:0.468	0.2	0.4748	0.42123	9.62:12.11:8.17:11.78:10.02	10.34	0.679:0.596:0.728:0.607:0.666	0.655	0.728	0.6910000000000001
489	hsCDK5RAP3	Q96BZ4	0.296:0.257:0.153:0.153:0.141	0.477:0.479:0.476:0.472:0.474	0.2	0.4756	0.420521	10.46:12.47:19.89:23.36:24.41	18.118	0.651:0.584:0.337:0.221:0.186	0.396	0.651	0.524
450	hsCDK5RAP3	Q9NQV8	0.171:0.17:0.157:0.157:0.155	0.392:0.385:0.385:0.381:0.384	0.162	0.3854	0.420343	17.75:14.02:19.81:22.17:23.16	19.382	0.408:0.533:0.34:0.261:0.228	0.354	0.533	0.427
794	hsCDK5RAP3	Q05586	0.179:0.178:0.174:0.172:0.159	0.41:0.414:0.422:0.407:0.401	0.1724	0.4108	0.419669	23.09:23.31:24.08:24.56:25.11	24.03	0.23:0.223:0.197:0.181:0.163	0.199	0.23	0.21666666666666667
601	hsCDK5RAP3	Q96DZ5	0.186:0.177:0.171:0.161:0.16	0.417:0.416:0.416:0.396:0.396	0.171	0.4082	0.418912	14.98:16.73:15.57:11.55:14.89	14.744	0.501:0.442:0.481:0.615:0.504	0.509	0.615	0.54
463	hsCDK5RAP3	Q6ZN84	0.163:0.164:0.161:0.154:0.153	0.387:0.38:0.373:0.38:0.378	0.159	0.3796	0.418862	20.56:19.19:23.03:20.91:20.52	20.842	0.315:0.36:0.232:0.303:0.316	0.305	0.36	0.3303333333333333
756	hsCDK5RAP3	Q96FN4	0.208:0.206:0.176:0.163:0.168	0.452:0.455:0.456:0.46:0.376	0.1842	0.4398	0.418827	16.23:16.22:18.08:21.7:20.81	18.608	0.459:0.459:0.397:0.277:0.306	0.38	0.459	0.43833333333333335
239	hsCDK5RAP3	Q9NZD8	0.193:0.192:0.192:0.19:0.181	0.46:0.458:0.449:0.451:0.446	0.1896	0.4528	0.418728	17.08:16.64:17.56:15.13:19.05	17.092	0.431:0.445:0.415:0.496:0.365	0.43	0.496	0.4573333333333333
378	hsCDK5RAP3	P55042	0.23:0.208:0.193:0.182:0.173	0.472:0.479:0.469:0.476:0.459	0.1972	0.471	0.418684	12.49:13.61:10.8:12.82:15.07	12.958	0.584:0.546:0.64:0.573:0.498	0.568	0.64	0.599
696	hsCDK5RAP3	Q8IZU9	0.152:0.147:0.146:0.141:0.142	0.349:0.349:0.349:0.35:0.344	0.1456	0.3482	0.41815	22.19:24.67:22.69:27.25:24.88	24.336	0.26:0.178:0.244:0.092:0.171	0.189	0.26	0.22733333333333333
761	hsCDK5RAP3	Q9BQT9	0.209:0.181:0.15:0.158:0.151	0.412:0.402:0.425:0.389:0.404	0.1698	0.4064	0.417815	18.56:21.33:26.48:25.05:26.44	23.572	0.381:0.289:0.117:0.165:0.119	0.214	0.381	0.2783333333333333
772	hsCDK5RAP3	Q9NVH2	0.296:0.293:0.267:0.204:0.188	0.603:0.604:0.603:0.58:0.597	0.2496	0.5974	0.417811	11.47:10.59:10.85:17.05:13.93	12.778	0.618:0.647:0.638:0.432:0.536	0.574	0.647	0.6343333333333333
469	hsCDK5RAP3	A0A1W2PPH5	0.349:0.197:0.192:0.185:0.166	0.543:0.521:0.513:0.518:0.513	0.2178	0.5216	0.417561	7.82:12.29:9.88:13.02:15.07	11.616	0.739:0.59:0.671:0.566:0.498	0.613	0.739	0.6666666666666666
145	hsCDK5RAP3	A1L4L8	0.303:0.222:0.197:0.191:0.185	0.535:0.523:0.519:0.528:0.525	0.2196	0.526	0.41749000000000003	8.03:13.6:13.42:13.01:16.17	12.846	0.732:0.547:0.553:0.566:0.461	0.572	0.732	0.617
674	hsCDK5RAP3	Q9Y272	0.212:0.198:0.198:0.185:0.176	0.464:0.469:0.466:0.464:0.46	0.1938	0.4646	0.417133	17.58:17.61:15.72:17.92:20.81	17.928	0.414:0.413:0.476:0.403:0.306	0.402	0.476	0.4343333333333333
613	hsCDK5RAP3	Q6NUI2	0.419:0.271:0.224:0.191:0.185	0.683:0.617:0.607:0.599:0.588	0.258	0.6188	0.416936	8.67:14.79:17.36:20.53:22.5	16.77	0.711:0.507:0.421:0.316:0.25	0.441	0.711	0.5463333333333333
187	hsCDK5RAP3	Q92186	0.212:0.179:0.17:0.149:0.143	0.422:0.4:0.397:0.406:0.422	0.1706	0.4094	0.416707	14.42:16.5:15.19:18.25:21.05	17.082	0.519:0.45:0.494:0.392:0.298	0.431	0.519	0.4876666666666667
736	hsCDK5RAP3	Q6MZZ7	0.241:0.189:0.179:0.172:0.165	0.462:0.455:0.451:0.456:0.447	0.1892	0.4542	0.416557	13.76:18:18.11:22.28:23.73	19.176	0.541:0.4:0.396:0.257:0.209	0.361	0.541	0.4456666666666667
721	hsCDK5RAP3	Q9UKA1	0.16:0.155:0.151:0.15:0.147	0.373:0.362:0.365:0.369:0.364	0.1526	0.3666	0.416258	23.72:22.22:25.02:22.47:23.55	23.396	0.209:0.259:0.166:0.251:0.215	0.22	0.259	0.24166666666666667
592	hsCDK5RAP3	Q56P42	0.318:0.256:0.238:0.237:0.126	0.582:0.567:0.564:0.558:0.554	0.235	0.565	0.415929	10.59:14.86:13.73:16.09:24.09	15.872	0.647:0.505:0.542:0.464:0.197	0.471	0.647	0.56466666666666665
571	hsCDK5RAP3	Q6P5S2	0.26:0.182:0.173:0.163:0.141	0.463:0.452:0.441:0.428:0.428	0.1838	0.4424	0.415461	13.98:19.66:19.48:21.45:24.53	19.82	0.534:0.345:0.351:0.285:0.182	0.339	0.534	0.41
393	hsCDK5RAP3	P56937	0.217:0.194:0.19:0.177:0.158	0.459:0.456:0.45:0.445:0.445	0.1872	0.451	0.415078	11.84:17.03:17.33:15.96:20.61	16.554	0.605:0.432:0.422:0.468:0.313	0.448	0.605	0.5016666666666667
185	hsCDK5RAP3	Q8TBJ5	0.206:0.199:0.175:0.172:0.147	0.44:0.43:0.437:0.432:0.429	0.1798	0.4336	0.414668	11.33:13.12:16.95:12.4:20.23	14.806	0.622:0.563:0.435:0.587:0.326	0.506	0.622	0.5906666666666667
704	hsCDK5RAP3	Q969H0	0.207:0.182:0.18:0.18:0.149	0.437:0.434:0.438:0.432:0.425	0.1796	0.4332	0.414589	10.2:12.04:12.44:12.61:19.58	13.374	0.66:0.599:0.585:0.58:0.347	0.554	0.66	0.6146666666666667
136	hsCDK5RAP3	A8K979	0.168:0.163:0.15:0.145:0.142	0.369:0.38:0.371:0.366:0.367	0.1536	0.3706	0.414463	18.59:14.05:19.98:20.8:23.8	19.444	0.38:0.532:0.334:0.307:0.207	0.352	0.532	0.41533333333333333
324	hsCDK5RAP3	P19878	0.182:0.168:0.161:0.161:0.131	0.4:0.387:0.393:0.382:0.38	0.1606	0.3884	0.413491	11.42:16.81:19.69:21.69:25.78	19.078	0.619:0.44:0.344:0.277:0.141	0.364	0.619	0.4676666666666667
600	hsCDK5RAP3	Q96J84	0.15:0.148:0.142:0.141:0.14	0.347:0.347:0.351:0.355:0.345	0.1442	0.349	0.413181	20.17:26.17:25.89:24.81:27.25	24.858	0.328:0.128:0.137:0.173:0.092	0.171	0.328	0.21266666666666667
98	hsCDK5RAP3	Q9NX40	0.279:0.208:0.204:0.171:0.165	0.51:0.5:0.484:0.5:0.492	0.2054	0.4972	0.413113	8.71:7.14:8.3:10.79:11.86	9.36	0.71:0.762:0.723:0.64:0.605	0.688	0.762	0.7316666666666667
478	hsCDK5RAP3	Q96NR8	0.219:0.194:0.18:0.162:0.142	0.445:0.449:0.43:0.426:0.423	0.1794	0.4346	0.412793	15.74:17.86:18.38:19.45:23.91	19.068	0.475:0.405:0.387:0.352:0.203	0.364	0.475	0.42233333333333334
262	hsCDK5RAP3	Q8TC41	0.186:0.178:0.17:0.157:0.13	0.398:0.403:0.399:0.4:0.39	0.1642	0.398	0.412563	12.62:15.37:17.64:16.86:24.58	17.414	0.579:0.488:0.412:0.438:0.181	0.42	0.579	0.5016666666666667
693	hsCDK5RAP3	Q8WX94	0.317:0.251:0.202:0.182:0.174	0.551:0.548:0.553:0.54:0.543	0.2252	0.547	0.4117	11.54:17.06:22:22.28:22.16	19.008	0.615:0.431:0.267:0.257:0.261	0.366	0.615	0.43766666666666665
764	hsCDK5RAP3	Q86VS3	0.244:0.211:0.203:0.184:0.174	0.502:0.495:0.485:0.496:0.49	0.2032	0.4936	0.411669	14.05:18.77:19.39:23.66:20.94	19.362	0.532:0.374:0.354:0.211:0.302	0.355	0.532	0.42
38	hsCDK5RAP3	Q99759	0.17:0.159:0.147:0.143:0.142	0.366:0.373:0.367:0.374:0.371	0.1522	0.3702	0.411129	22.19:21.75:21.72:24.59:25.14	23.078	0.26:0.275:0.276:0.18:0.162	0.231	0.276	0.27033333333333337
735	hsCDK5RAP3	Q9P0L9	0.243:0.191:0.161:0.146:0.14	0.431:0.441:0.428:0.413:0.43	0.1762	0.4286	0.411106	14.54:18.39:22.16:24.59:23.86	20.708	0.515:0.387:0.261:0.18:0.205	0.31	0.515	0.38766666666666666
58	hsCDK5RAP3	Q13563	0.195:0.18:0.162:0.152:0.154	0.435:0.415:0.405:0.41:0.391	0.1686	0.4112	0.410019	20.3:23.81:21.73:25.03:26.19	23.412	0.323:0.206:0.276:0.166:0.127	0.22	0.323	0.2683333333333333
698	hsCDK5RAP3	Q8N531	0.27:0.215:0.164:0.146:0.143	0.457:0.457:0.464:0.455:0.455	0.1876	0.4576	0.409965	13.66:17.56:12.91:24.52:24.56	18.642	0.545:0.415:0.57:0.183:0.181	0.379	0.57	0.51
50	hsCDK5RAP3	Q5SWX8	0.206:0.191:0.182:0.182:0.175	0.46:0.464:0.458:0.452:0.45	0.1872	0.4568	0.409807	17.08:17.83:18.34:19.22:19.69	18.432	0.431:0.406:0.389:0.359:0.344	0.386	0.431	0.4086666666666667
610	hsCDK5RAP3	P10114	0.237:0.22:0.21:0.208:0.166	0.521:0.506:0.5:0.51:0.505	0.2082	0.5084	0.40952	14.66:15.05:16.52:17.03:19.11	16.474	0.511:0.498:0.449:0.432:0.363	0.451	0.511	0.486
641	hsCDK5RAP3	Q6ZWH5	0.187:0.181:0.18:0.175:0.168	0.429:0.438:0.429:0.442:0.438	0.1782	0.4352	0.409467	24.22:22.25:23.03:23.06:26.23	23.758	0.193:0.258:0.232:0.231:0.126	0.208	0.258	0.24033333333333334
349	hsCDK5RAP3	O94985	0.215:0.17:0.168:0.169:0.168	0.441:0.443:0.433:0.427:0.43	0.178	0.4348	0.409384	14.91:22.62:18.98:14.23:23.91	18.93	0.503:0.246:0.367:0.526:0.203	0.369	0.526	0.4653333333333333
385	hsCDK5RAP3	P49802	0.281:0.146:0.143:0.142:0.137	0.452:0.41:0.403:0.406:0.404	0.1698	0.415	0.409157	11.91:21.52:24.03:22.8:24.69	20.99	0.603:0.283:0.199:0.24:0.177	0.3	0.603	0.3753333333333333
473	hsCDK5RAP3	Q5U5Q3	0.18:0.166:0.159:0.154:0.142	0.382:0.399:0.395:0.396:0.386	0.1602	0.3916	0.409091	14.67:14.2:14.23:17.8:20.78	16.336	0.511:0.527:0.526:0.407:0.307	0.455	0.527	0.5213333333333333
34	hsCDK5RAP3	Q9NQX4	0.232:0.22:0.218:0.211:0.204	0.519:0.535:0.537:0.525:0.54	0.217	0.5312	0.408509	24.45:22.03:23.56:23.45:24.98	23.694	0.185:0.266:0.215:0.218:0.167	0.21	0.266	0.233
377	hsCDK5RAP3	P55040	0.226:0.209:0.18:0.18:0.168	0.48:0.481:0.466:0.467:0.467	0.1926	0.4722	0.407878	10.46:13.07:15.82:9.19:16.47	13.002	0.651:0.564:0.473:0.694:0.451	0.567	0.694	0.6363333333333333
518	hsCDK5RAP3	Q7Z3E1	0.195:0.177:0.171:0.149:0.143	0.418:0.41:0.395:0.418:0.408	0.167	0.4098	0.407516	11.16:11.39:14.22:19.55:21.3	15.524	0.628:0.62:0.526:0.348:0.29	0.483	0.628	0.5913333333333334
690	hsCDK5RAP3	Q8WXI4	0.213:0.204:0.202:0.196:0.163	0.457:0.491:0.488:0.475:0.489	0.1956	0.48	0.4075	14.07:16.36:15.3:15.1:21.17	16.4	0.531:0.455:0.49:0.497:0.294	0.453	0.531	0.506
134	hsCDK5RAP3	P17050	0.222:0.215:0.181:0.178:0.168	0.488:0.484:0.471:0.465:0.46	0.1928	0.4736	0.407095	13.3:13.24:17:13.23:16.91	14.736	0.557:0.559:0.433:0.559:0.436	0.509	0.559	0.5583333333333333
581	hsCDK5RAP3	P41279	0.172:0.173:0.163:0.151:0.149	0.402:0.399:0.394:0.395:0.395	0.1616	0.397	0.407053	19.55:17.64:21.05:21.27:22.55	20.412	0.348:0.412:0.298:0.291:0.248	0.32	0.412	0.35266666666666663
564	hsCDK5RAP3	Q9NYL9	0.372:0.166:0.139:0.129:0.124	0.529:0.452:0.433:0.435:0.436	0.186	0.457	0.407002	7.42:19.45:23.12:21.47:25.14	19.32	0.753:0.352:0.229:0.284:0.162	0.356	0.753	0.46299999999999997
395	hsCDK5RAP3	P31751	0.208:0.17:0.155:0.147:0.122	0.402:0.402:0.394:0.391:0.382	0.1604	0.3942	0.4069	17.17:19.2:19.69:20.44:25.91	20.482	0.428:0.36:0.344:0.319:0.136	0.317	0.428	0.3773333333333333
565	hsCDK5RAP3	Q86V24	0.188:0.183:0.165:0.146:0.148	0.393:0.409:0.415:0.417:0.406	0.166	0.408	0.406863	11.38:13.43:16.27:19.64:21.34	16.412	0.621:0.552:0.458:0.345:0.289	0.453	0.621	0.5436666666666667
500	hsCDK5RAP3	Q86UT6	0.432:0.272:0.182:0.18:0.178	0.677:0.611:0.591:0.589:0.595	0.2488	0.6126	0.406138	6.65:14.83:19.94:24.28:20.53	17.246	0.778:0.506:0.335:0.191:0.316	0.425	0.778	0.5396666666666667
42	hsCDK5RAP3	O75828	0.245:0.198:0.184:0.168:0.134	0.464:0.459:0.467:0.451:0.45	0.1858	0.4582	0.4055	12.04:13.87:16:14.73:20.73	15.474	0.599:0.538:0.467:0.509:0.309	0.484	0.599	0.5486666666666666
791	hsCDK5RAP3	Q01581	0.36:0.195:0.162:0.159:0.148	0.512:0.511:0.5:0.499:0.506	0.2048	0.5056	0.405063	8.64:13.77:21.12:22.05:22.08	17.532	0.712:0.541:0.296:0.265:0.264	0.416	0.712	0.5163333333333333
52	hsCDK5RAP3	O94810	0.167:0.167:0.166:0.163:0.161	0.406:0.408:0.406:0.41:0.412	0.1648	0.4084	0.403526	22.75:21.28:21.22:22.7:23.62	22.314	0.242:0.291:0.293:0.243:0.213	0.256	0.293	0.27566666666666667
477	hsCDK5RAP3	Q96NB3	0.278:0.194:0.153:0.149:0.14	0.47:0.454:0.452:0.446:0.449	0.1828	0.4542	0.402466	6.41:9.81:12.94:19.83:18.48	13.494	0.786:0.673:0.569:0.339:0.384	0.55	0.786	0.676
268	hsCDK5RAP3	O75298	0.181:0.166:0.163:0.156:0.144	0.408:0.408:0.39:0.406:0.401	0.162	0.4026	0.402385	12.71:16.95:18.44:18.22:17.86	16.836	0.576:0.435:0.385:0.393:0.405	0.439	0.576	0.472
312	hsCDK5RAP3	O00154	0.183:0.178:0.175:0.162:0.155	0.427:0.431:0.424:0.42:0.419	0.1706	0.4242	0.402169	15.51:16.81:13.09:20.19:20.61	17.242	0.483:0.44:0.564:0.327:0.313	0.425	0.564	0.49566666666666664
188	hsCDK5RAP3	Q92187	0.205:0.173:0.173:0.156:0.143	0.425:0.418:0.411:0.44:0.422	0.17	0.4232	0.401701	10.58:8.95:12.48:12.19:12.88	11.416	0.647:0.702:0.584:0.594:0.571	0.619	0.702	0.6476666666666666
451	hsCDK5RAP3	Q9H307	0.156:0.154:0.151:0.151:0.146	0.381:0.376:0.38:0.376:0.375	0.1516	0.3776	0.401483	21.06:22.88:22.56:22.59:25.39	22.896	0.298:0.237:0.248:0.247:0.154	0.237	0.298	0.2643333333333333
21	hsCDK5RAP3	Q3KNV8	0.283:0.2:0.2:0.173:0.158	0.525:0.506:0.506:0.495:0.494	0.2028	0.5052	0.401425	11.53:17.23:17.12:19.55:18.94	16.874	0.616:0.426:0.429:0.348:0.369	0.438	0.616	0.49033333333333334
278	hsCDK5RAP3	Q9Y2U5	0.157:0.157:0.159:0.144:0.136	0.385:0.378:0.366:0.374:0.373	0.1506	0.3752	0.401386	19.8:17.69:22.64:24.03:25.48	21.928	0.34:0.41:0.245:0.199:0.151	0.269	0.41	0.33166666666666667
164	hsCDK5RAP3	Q86YQ8	0.166:0.157:0.156:0.155:0.155	0.397:0.407:0.397:0.392:0.374	0.1578	0.3934	0.401118	21.39:24.3:23.12:22.12:22.72	22.73	0.287:0.19:0.229:0.263:0.243	0.242	0.287	0.2643333333333333
541	hsCDK5RAP3	P61225	0.237:0.229:0.198:0.182:0.174	0.508:0.52:0.501:0.508:0.506	0.204	0.5086	0.401101	15.12:14.18:16.08:17.98:18.67	16.406	0.496:0.527:0.464:0.401:0.378	0.453	0.527	0.4956666666666667
123	hsCDK5RAP3	Q8TD19	0.217:0.191:0.183:0.178:0.167	0.448:0.475:0.474:0.459:0.481	0.1872	0.4674	0.400513	16.92:20.17:20.97:21.64:24.81	20.902	0.436:0.328:0.301:0.279:0.173	0.303	0.436	0.355
375	hsCDK5RAP3	Q9H845	0.345:0.187:0.187:0.184:0.174	0.599:0.525:0.523:0.523:0.522	0.2154	0.5384	0.400074	11.02:19.53:18.94:19.47:18.78	17.548	0.633:0.349:0.369:0.351:0.374	0.415	0.633	0.45866666666666667
392	hsCDK5RAP3	P48147	0.332:0.269:0.24:0.22:0.166	0.628:0.606:0.615:0.62:0.605	0.2454	0.6148	0.399154	8.42:8.27:10.64:12.38:22.06	12.354	0.719:0.724:0.645:0.587:0.265	0.588	0.724	0.696
429	hsCDK5RAP3	Q9NZM6	0.211:0.205:0.189:0.168:0.17	0.48:0.493:0.469:0.471:0.453	0.1886	0.4732	0.398563	14.54:15.77:16.67:19.14:18.58	16.94	0.515:0.474:0.444:0.362:0.381	0.435	0.515	0.4776666666666667
281	hsCDK5RAP3	P50895	0.197:0.166:0.163:0.147:0.139	0.42:0.409:0.409:0.402:0.4	0.1624	0.408	0.398039	19.16:21.23:21.84:25:24.39	22.324	0.361:0.292:0.272:0.167:0.187	0.256	0.361	0.30833333333333335
436	hsCDK5RAP3	Q9NZI8	0.167:0.166:0.157:0.158:0.147	0.406:0.402:0.404:0.395:0.396	0.159	0.4006	0.396905	18.36:21.8:20.84:21.23:23.44	21.134	0.388:0.273:0.305:0.292:0.219	0.296	0.388	0.3283333333333333
618	hsCDK5RAP3	P40939	0.323:0.244:0.239:0.208:0.184	0.635:0.593:0.604:0.596:0.592	0.2396	0.604	0.396689	10.76:16.88:13.45:12.06:16.05	13.84	0.641:0.437:0.552:0.598:0.465	0.539	0.641	0.597
702	hsCDK5RAP3	Q86XN8	0.171:0.163:0.151:0.15:0.143	0.402:0.4:0.392:0.379:0.39	0.1556	0.3926	0.396332	13.95:15.6:20.7:18.55:22.2	18.2	0.535:0.48:0.31:0.382:0.26	0.393	0.535	0.4656666666666667
667	hsCDK5RAP3	Q9Y2G0	0.372:0.169:0.163:0.149:0.15	0.521:0.507:0.493:0.511:0.506	0.2006	0.5076	0.395193	5.37:17.02:20.59:24.08:21.02	17.616	0.821:0.433:0.314:0.197:0.299	0.413	0.821	0.5226666666666666
391	hsCDK5RAP3	P41220	0.28:0.257:0.201:0.141:0.14	0.524:0.532:0.526:0.498:0.5	0.2038	0.516	0.394961	8.18:7.09:14.26:19.25:19.25	13.606	0.727:0.764:0.525:0.358:0.358	0.546	0.764	0.672
749	hsCDK5RAP3	Q96LT9	0.215:0.161:0.162:0.151:0.128	0.421:0.421:0.411:0.408:0.408	0.1634	0.4138	0.394877	16.55:17:16.03:17.06:22.02	17.732	0.448:0.433:0.466:0.431:0.266	0.409	0.466	0.449
683	hsCDK5RAP3	P51956	0.162:0.157:0.157:0.149:0.145	0.385:0.4:0.388:0.391:0.391	0.154	0.391	0.393862	20.97:22.27:21.22:22.16:22.77	21.878	0.301:0.258:0.293:0.261:0.241	0.271	0.301	0.285
135	hsCDK5RAP3	Q16836	0.203:0.179:0.153:0.153:0.14	0.418:0.421:0.425:0.418:0.422	0.1656	0.4208	0.393536	11.7:12.68:18.59:16.78:21.14	16.178	0.61:0.577:0.38:0.441:0.295	0.461	0.61	0.5426666666666666
153	hsCDK5RAP3	Q03518	0.19:0.181:0.182:0.166:0.161	0.467:0.445:0.433:0.448:0.453	0.176	0.4492	0.391808	15.26:19.08:16.28:22.25:18.88	18.35	0.491:0.364:0.457:0.258:0.371	0.388	0.491	0.43966666666666665
587	hsCDK5RAP3	Q8NFW8	0.19:0.151:0.149:0.136:0.136	0.387:0.399:0.388:0.389:0.382	0.1524	0.389	0.391774	14.9:22.53:23.05:25.38:25.34	22.24	0.503:0.249:0.232:0.154:0.155	0.259	0.503	0.328
304	hsCDK5RAP3	Q96BY9	0.282:0.223:0.149:0.136:0.113	0.48:0.471:0.459:0.451:0.448	0.1806	0.4618	0.391078	7.94:6.27:13.12:21.3:26.41	15.008	0.735:0.791:0.563:0.29:0.12	0.5	0.791	0.6963333333333334
368	hsCDK5RAP3	Q9GZQ3	0.245:0.2:0.194:0.172:0.164	0.503:0.506:0.499:0.494:0.492	0.195	0.4988	0.390938	13.04:18.02:15.73:17.84:18.28	16.582	0.565:0.399:0.476:0.405:0.391	0.447	0.565	0.482
318	hsCDK5RAP3	Q9H4Q4	0.201:0.188:0.184:0.181:0.143	0.475:0.468:0.457:0.464:0.435	0.1794	0.4598	0.39017	16.53:17.52:17.06:17:23.52	18.326	0.449:0.416:0.431:0.433:0.216	0.389	0.449	0.43766666666666665
669	hsCDK5RAP3	Q9Y2G2	0.174:0.168:0.147:0.141:0.121	0.391:0.384:0.384:0.385:0.383	0.1502	0.3854	0.389725	14.95:16.23:22.72:21.12:26.94	20.392	0.502:0.459:0.243:0.296:0.102	0.32	0.502	0.419
631	hsCDK5RAP3	Q5H913	0.203:0.205:0.188:0.175:0.16	0.486:0.474:0.482:0.474:0.474	0.1862	0.478	0.38954	7.77:12.06:12.52:18.95:18.94	14.048	0.741:0.598:0.583:0.368:0.369	0.532	0.741	0.6406666666666666
2	hsCDK5RAP3	A0A1W2PR19	0.215:0.21:0.19:0.177:0.151	0.487:0.489:0.493:0.491:0.462	0.1886	0.4844	0.389348	12.14:10.68:16.45:17.5:17.89	14.932	0.595:0.644:0.452:0.417:0.404	0.502	0.644	0.5636666666666666
18	hsCDK5RAP3	Q96A23	0.169:0.158:0.155:0.159:0.148	0.411:0.415:0.417:0.38:0.405	0.1578	0.4056	0.389053	21.3:22.55:21.59:21.31:23.42	22.034	0.29:0.248:0.28:0.29:0.219	0.266	0.29	0.2866666666666667
663	hsCDK5RAP3	O43427	0.2:0.186:0.168:0.164:0.151	0.469:0.446:0.453:0.438:0.433	0.1738	0.4478	0.38812	18.22:19.66:20.02:20.84:21.42	20.032	0.393:0.345:0.333:0.305:0.286	0.332	0.393	0.357
676	hsCDK5RAP3	Q9Y274	0.182:0.177:0.174:0.164:0.158	0.439:0.457:0.433:0.443:0.433	0.171	0.441	0.387755	17.27:17.12:17.72:15.35:21.44	17.78	0.424:0.429:0.409:0.488:0.285	0.407	0.488	0.447
561	hsCDK5RAP3	Q9NYP9	0.262:0.216:0.204:0.153:0.13	0.498:0.501:0.508:0.497:0.487	0.193	0.4982	0.387395	11.57:16.31:16.67:21.55:22.45	17.71	0.614:0.456:0.444:0.282:0.252	0.41	0.614	0.5046666666666667
